Hours,Low,High,Last,Weight Avg.
00:00 - 00:30,81.53,74.8,75.05,1131.9
00:30 - 01:00,85.0,80.31,79.96,1209.3
01:00 - 01:30,81.17,69.0,73.31,1050.5
01:30 - 02:00,82.0,75.01,75.25,1075.4
02:00 - 02:30,81.1,62.07,69.27,946.7
02:30 - 03:00,96.5,65.0,70.29,1050.3
03:00 - 03:30,78.38,64.5,68.9,1354.5
03:30 - 04:00,79.54,60.0,66.99,1136.3
04:00 - 04:30,75.13,64.0,66.33,1132.6
04:30 - 05:00,76.0,66.0,66.76,1410.1
05:00 - 05:30,74.8,66.0,67.04,1234.9
05:30 - 06:00,73.4,60.0,65.02,1394.1
06:00 - 06:30,70.03,61.71,64.11,1047.4
06:30 - 07:00,69.22,55.97,62.74,1390.0
07:00 - 07:30,72.93,64.29,66.38,1706.5
07:30 - 08:00,72.03,64.0,65.81,1653.2
08:00 - 08:30,75.79,62.0,67.38,1592.9
08:30 - 09:00,77.68,67.75,68.98,1871.4
09:00 - 09:30,74.99,67.0,65.74,1696.0
09:30 - 10:00,78.0,73.32,71.45,1978.6
10:00 - 10:30,74.66,59.92,66.86,1362.1
10:30 - 11:00,76.05,53.0,65.78,1270.3
11:00 - 11:30,76.52,64.0,65.69,1234.0
11:30 - 12:00,80.0,69.0,67.71,1616.4
12:00 - 12:30,83.0,82.99,70.32,1413.1
12:30 - 13:00,86.46,68.53,68.83,1368.5
13:00 - 13:30,87.62,83.99,70.53,1426.4
13:30 - 14:00,83.45,75.3,71.72,1276.5
14:00 - 14:30,74.23,66.16,68.77,1190.0
14:30 - 15:00,74.69,60.19,66.95,1273.5
15:00 - 15:30,75.95,58.0,68.25,1165.8
15:30 - 16:00,77.39,62.5,67.52,1438.5
16:00 - 16:30,80.8,72.0,72.02,1507.8
16:30 - 17:00,90.0,64.7,72.53,1600.8
17:00 - 17:30,86.99,73.99,78.94,1421.4
17:30 - 18:00,91.77,89.19,84.98,1615.2
18:00 - 18:30,93.47,76.0,86.37,1836.5
18:30 - 19:00,98.54,82.99,85.95,1779.8
19:00 - 19:30,96.49,80.11,87.28,1656.5
19:30 - 20:00,86.6,70.02,79.78,1669.8
20:00 - 20:30,87.48,72.0,79.78,1423.8
20:30 - 21:00,85.1,61.0,71.89,1238.7
21:00 - 21:30,83.1,66.0,72.87,1150.7
21:30 - 22:00,84.67,65.0,70.67,1557.8
22:00 - 22:30,85.28,81.0,78.0,1330.9
22:30 - 23:00,85.08,71.99,78.17,1509.3
23:00 - 23:30,81.9,63.0,71.7,1093.4
23:30 - 24:00,76.16,60.03,67.7,1392.3
